domain,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
iweb.sba.gov,4571,252162,762,55.16560928,4703.236928,4571
origin3.studentaid.ed.gov,3047,48756,762,16.00131277,3741.58254,3047
socialwork.va.gov,1524,6856,3047,4.498687664,2861.815617,3047
usastaffing.opm.gov,127985,6425933,9142,50.20848537,2488.620471,127985
usahire.opm.gov,22855,802956,11427,35.13261868,2373.851411,22855
pk.edit.usembassy.gov,1524,13713,762,8.998031496,2115.494094,762
ed.ecpic.gov,3047,26664,762,8.750902527,1740.654742,3047
cms.doe.gov,5333,83800,762,15.71348209,1510.350459,5333
ethics.va.gov,2285,12951,2285,5.667833698,1458.289278,2285
censtats.census.gov,19045,651354,15998,34.20078761,1207.628091,19045
drivethru.gsa.gov,51042,809812,11427,15.86560088,1112.771502,51804
e-verify.uscis.gov,601836,14485964,214833,24.0696203,1103.5785,627738
nad.usda.gov,1524,15998,1524,10.49737533,1042.750656,762
clinton.presidentiallibraries.us,1524,22093,1524,14.49671916,1022.255249,1524
idcf.bls.gov,141698,1610483,79991,11.36560149,1017.963076,143984
eitc.irs.gov,92942,1989106,109702,21.40158378,1001.890889,127985
usmcservmart.gsa.gov,5333,207976,4571,38.99793737,998.2340146,9142
cpars.cpars.gov,57136,1302708,25140,22.80012602,988.4057162,57136
es-faq.usps.com,1524,24378,10665,15.99606299,965.2690289,9142
epas.uspto.gov,24378,520322,12189,21.34391665,960.5691197,27425
dcmo.defense.gov,3047,9142,2285,3.000328192,951.5845094,3047
kinetics.nist.gov,9142,142460,3047,15.58302341,942.1473419,9142
vehicledispatch.fas.gsa.gov,12189,234640,2285,19.25014357,929.7564197,12189
specialcollections.nal.usda.gov,3047,3047,3047,1,903.5802429,1524
ceac.state.gov,6573725,107957953,2153659,16.42264515,899.6137754,6512780
bm.usconsulate.gov,6095,25140,4571,4.124692371,896.1826087,6095
spc.noaa.gov,1294328,8019655,473851,6.195999005,871.6417763,1295090
j1visawaiverrecommendation.state.gov,9904,326058,6095,32.92184976,863.736975,6095
foodsafetyworkinggroup.gov,1524,14475,1524,9.498031496,860.7939633,1524
patapsco.nist.gov,1524,6095,3047,3.999343832,858.2946194,3047
wwwdev.ihs.gov,1524,12189,762,7.998031496,856.7952756,1524
