Year,Department,Faculty,Sponsor,Title
2015-2016,Anthropology,Brenda Bradley,National Science Foundation - LOC,Collaborative Research: The evolution of hair and fur Proximate &amp; Ultimate factos shaping primate pelgage variation
2015-2016,Anthropology,Alexander Dent,National Science Foundation-LOC,Cellular Connections: Phone Trouble and its Repair among Teens in Washington DC
2015-2016,Anthropology,Laurence Dumouchel,Evolving Earth Foundation,The environments of the earliest Australopithecus
2015-2016,Anthropology,Laurence Domouchel,Leakey Foundation,"The environments of the earliest obligate biped, Australopithecus anamensis"
2015-2016,Anthropology,Roy Richard Grinker,California Academy of Science / National Science Foundation,"Integrating multidisciplinary tools to study Plio-Pleistocene paleoecology of early hominins from the Omo Valley, Ethiopia"
2015-2016,Anthropology,Roy Richard Grinker,The Wenner-Gren Foundation,Wadsworth International Fellowship: Enguye Negash
2015-2016,Anthropology,Ashley Hammond,The Wenner-Gren Foundation,The hominid pelvis: Testing alternative evolutionary hypotheses for the Pan-hominin LCA pelvis shape
2015-2016,Anthropology,Ashley Hammond,Leakey Foundation,Reconstructing phenotypic change of the pelvis in apes and humans
2015-2016,Anthropology,Shannon McFarlin,Nation Science Foundation-LOC,Physical ontogeny and life history of wild mountain and western gorillas
2015-2016,Anthropology,ShannonMcFarlin,The Nacey Maggioncalda Foundation,Weaning in mountain gorillas: A methodological test of barium distributions in enamel
2015-2016,Anthropology,Kathryn McGrath,Leakey Foundation,Understanding stress-related enamel defects in wild mountain gorillas
2015-2016,Anthropology,Kathryn Lee Ranhorn,Leakey Foundation,New Approaches to the Archaeology of Modern Human Origins
2015-2016,Anthropology,Chester Sherwood,HHS/National Institutes of Health-LOC,A National Chimpanzee Brain Resource
2015-2016,Anthropology,Sarah E. Wagner,The Wenner-Gren Foundation,The Gift of Death: Violent Conflict and the Obligations of Care
2015-2016,Anthropology,Kaitlin Rose Wellens,Leakey Foundation,Maternal effects on juvenile chimpanzee social behavior and physiological stress
2015-2016,Biological Sciences,Lizbeth Courtney Smith,National Science Foundation-LOC,Diversity of animal immunity and somatic DNA modifications in the sea urchin
